timestamp,close,open,high,low,volume,change_pct,EMA_21,EMA_99,EMA_200,RSI_14,Stoch_K,MACD,Signal_Line,Upper_BB,Lower_BB,Daily_Return,Target_Price,Target_Direction
2023-08-23,960.13,962.96,967.66,960.13,4370000000.0,-0.29,963.4346186867659,967.1926274822443,968.1583203287123,49.992301770592775,38.52791878172596,-1.9136062446094684,-1.5097826664964031,971.2118595653559,955.0071404346439,-0.002938855196477519,956.34,0
2023-08-24,956.34,960.13,963.71,956.34,3760000000.0,-0.39,962.7896533516055,966.9755749325994,968.0407251015611,41.35812449474537,20.137784843667554,-2.230582375574045,-1.6539426083119315,970.554511418134,954.3694885818658,-0.003947382125337184,956.72,1
2023-08-25,956.72,956.34,958.71,951.95,2960000000.0,0.04,962.2378666832777,966.7704634339475,967.9280810706998,47.923204725863016,24.511819116135666,-2.4231923656395793,-1.8077925597774611,970.714025109016,953.9549748909839,0.00039734822343517884,958.28,1
2023-08-28,958.28,956.8,962.74,956.8,2330000000.0,0.16,961.8780606211616,966.6006541652686,967.8320802640262,41.59420289855069,32.52826310380243,-2.4220384562534036,-1.9306417390726498,970.736453333943,953.5945466660567,0.001630571117986479,964.03,1
2023-08-29,964.03,958.28,965.43,958.28,7100000000.0,0.6,962.0736914737832,966.5492410819633,967.7942486196081,52.19147646940008,62.07605344295979,-1.9348433596545647,-1.9314820631890328,970.5508782749976,953.6211217250025,0.006000333931627466,963.92,0
2023-08-30,963.92,964.11,973.52,963.92,3550000000.0,-0.01,962.2415377034392,966.496656260324,967.7556988820995,48.50584668687744,55.49374130737112,-1.5398632314399947,-1.8531582968392253,970.5920776440977,953.6259223559024,-0.00011410433285274912,962.25,0
2023-08-31,962.25,963.92,967.12,957.47,9770000000.0,-0.17,962.2423070031266,966.4117231351175,967.7009158086458,45.46818084422538,47.75150672229942,-1.3460769403152426,-1.751742025534429,970.6468024888318,953.7821975111683,-0.0017325089219022427,966.96,1
2023-09-01,966.96,962.25,970.29,961.65,3130000000.0,0.49,962.6711881846605,966.4226886724152,967.6935435120424,52.64974619289342,69.58738989337058,-0.8031836701711654,-1.5620303544617764,970.6349405705905,953.7870594294093,0.004894777864380417,969.92,1
2023-09-04,969.92,966.99,972.01,965.9,2320000000.0,0.31,963.330171076964,966.4926348989669,967.7156973079425,51.3152400835073,83.3101529902641,-0.13256149361757252,-1.2761365822929356,971.7028031560525,953.8141968439478,0.003061140067841306,968.67,0
2023-09-05,968.67,969.92,972.38,965.76,2530000000.0,-0.13,963.8156100699673,966.5361822009875,967.7251928571172,52.58878904578515,77.51506722299473,0.2946503141508856,-0.9619792030041715,972.0650216096661,953.6789783903338,-0.0012887660838006854,967.19,0
2023-09-06,967.19,968.67,973.53,967.19,3210000000.0,-0.15,964.1223727908794,966.5492585569677,967.7198675550563,53.574542284219824,70.62094531974078,0.5079399035516872,-0.6679953816929998,972.5151883953322,953.7618116046679,-0.001527868107817798,959.47,0
2023-09-07,959.47,967.22,967.71,954.4,7640000000.0,-0.8,963.6994298098903,966.4076733858284,967.6377793206777,52.97413793103448,34.84708063021319,0.05341818694500944,-0.523712667965398,972.3029056456242,953.3910943543758,-0.007981885668793098,952.38,0
2023-09-08,952.38,959.47,961.06,947.61,3240000000.0,-0.74,962.6703907362639,966.1271199181118,967.4859606209695,48.6539984164687,18.402777777777736,-0.8688813709313763,-0.5927464085585936,972.5154085145881,951.768591485412,-0.007389496284407104,958.72,1
